work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size
2022,MI,FT,Data Analyst,US,0,US,M
2022,MI,FT,Data Engineer,GB,0,GB,M
2022,SE,FT,Data Scientist,US,100,US,M
2022,EX,FT,Data Analyst,US,100,US,M
2022,SE,FT,Data Analyst,US,100,US,M
2022,SE,FT,Data Engineer,US,100,US,M
2022,SE,FT,Data Analyst,US,100,US,M
2022,EX,FT,Head of Data Science,US,100,US,M
2022,SE,FT,Data Engineer,US,100,US,M
2022,SE,FT,Data Engineer,US,0,US,M
2022,SE,FT,Machine Learning Engineer,US,0,US,M
2022,SE,FT,Data Architect,US,100,US,M
2022,SE,FT,Data Architect,US,100,US,M
2022,SE,FT,Data Engineer,US,100,US,M
2022,SE,FT,Data Analyst,US,0,US,M
2022,MI,FT,Machine Learning Engineer,GB,0,GB,M
2022,MI,FT,AI Scientist,US,0,US,M
2022,SE,FT,Data Engineer,US,100,US,L
2022,MI,FT,Data Analyst,US,0,US,S
2022,MI,FT,Data Engineer,GR,100,GR,M
2022,SE,FT,Data Science Engineer,AR,100,MX,L
2022,MI,FT,Data Engineer,US,0,US,M
2022,MI,FT,Data Engineer,ES,100,ES,M
2022,MI,FT,Data Engineer,GB,100,GB,M
2022,EN,FT,Computer Vision Engineer,US,0,US,M
2022,MI,FT,NLP Engineer,US,50,US,L
2022,MI,FT,Business Data Analyst,IN,100,IN,M
2022,MI,FT,Data Scientist,IN,100,IN,L
2022,EN,FT,Financial Data Analyst,US,50,US,L
2022,SE,FT,Research Scientist,US,50,US,L
2022,MI,FT,Data Analyst,US,100,US,M
2022,MI,FT,Data Scientist,GB,0,GB,M
2022,MI,FT,Data Scientist,GB,0,GB,M
2022,SE,FT,Data Scientist,US,100,US,M
2022,SE,FT,Data Engineer,US,100,US,M
2022,EN,CT,Applied Machine Learning Scientist,TN,100,CZ,M
2022,MI,FT,Principal Data Analyst,CA,100,CA,S
2022,MI,FT,Data Scientist,PL,100,PL,L
2022,SE,FT,Research Scientist,FR,50,FR,L
2022,EN,FT,Data Scientist,JP,100,MY,L
2022,SE,FT,Data Engineer,US,100,US,M
2022,EN,FT,Research Scientist,US,100,US,L
2022,EN,FT,Computer Vision Software Engineer,AU,100,AU,S
2022,MI,FT,Data Scientist,CA,100,CA,M
2022,MI,FT,Data Analyst,CA,0,CA,M
2022,SE,FT,Analytics Engineer,US,0,US,M
2022,SE,FT,Data Engineer,US,100,US,M
2022,SE,FT,Data Analyst,US,100,US,M
2022,SE,FT,Data Analyst,US,100,US,M
2022,SE,FT,Data Architect,US,100,US,M
2022,SE,FT,Data Scientist,US,100,US,M
2022,EN,FT,Data Analyst,CA,0,CA,M
2022,SE,FT,Data Analyst,US,0,US,M
